alpha,Stiffness (K),Viscosity (D),Mass (M),(K2),(KD),(D2),bias
,,,,,,,
1.00E-08,1558.352723,-0.566408704,0.049467306,127144.9722,871.6376193,-0.015418792,-0.078563483
0.120020028,0,0,-0.338197449,0,0,0.00401553,2.846848631
,,,,,,,
0.120570578,0,0,-0.337671243,0,0,0.003768607,2.847144124
,,,,,,,
0.121121129,0,0,-0.337145037,0,0,0.003521684,2.847439617
,,,,,,,
0.121671679,0,0,-0.336618832,0,0,0.00327476,2.84773511
,,,,,,,
0.12222223,0,0,-0.336092626,0,0,0.003027837,2.848030603
,,,,,,,
0.122772781,0,0,-0.33556642,0,0,0.002780913,2.848326096
,,,,,,,
0.123323331,0,0,-0.335040214,0,0,0.00253399,2.848621589
,,,,,,,
0.123873882,0,0,-0.334514008,0,0,0.002287066,2.848917082
,,,,,,,
0.124424432,0,0,-0.333987803,0,0,0.002040143,2.849212575
,,,,,,,
0.124974983,0,0,-0.333461597,0,0,0.00179322,2.849508068
,,,,,,,
0.125525533,0,0,-0.332935391,0,0,0.001546296,2.849803561
,,,,,,,
0.126076084,0,0,-0.332409185,0,0,0.001299373,2.850099054
,,,,,,,
0.126626634,0,0,-0.33188298,0,0,0.001052449,2.850394546
,,,,,,,
0.127177185,0,0,-0.331356774,0,0,0.000805526,2.850690039
,,,,,,,
0.127727735,0,0,-0.330830568,0,0,0.000558602,2.850985532
,,,,,,,
0.128278286,0,0,-0.330304362,0,0,0.000311679,2.851281025
,,,,,,,
0.128828836,0,0,-0.329777684,0,0,6.47E-05,2.85157658
,,,,,,,
0.129379387,0,0,-0.329299875,0,0,0,2.851654503
,,,,,,,
0.129929938,0,0,-0.328838629,0,0,0,2.85165517
,,,,,,,
0.130480488,0,0,-0.328377383,0,0,0,2.851655837
,,,,,,,
0.131031039,0,0,-0.327916137,0,0,0,2.851656503
,,,,,,,
0.131581589,0,0,-0.327454891,0,0,0,2.85165717
,,,,,,,
0.13213214,0,0,-0.326993645,0,0,0,2.851657837
,,,,,,,
0.13268269,0,0,-0.326532399,0,0,0,2.851658504
,,,,,,,
0.133233241,0,0,-0.326071153,0,0,0,2.851659171
,,,,,,,
0.133783791,0,0,-0.325609906,0,0,0,2.851659838
,,,,,,,
0.134334342,0,0,-0.32514866,0,0,0,2.851660504
,,,,,,,
0.134884892,0,0,-0.324687414,0,0,0,2.851661171
,,,,,,,
0.135435443,0,0,-0.324226168,0,0,0,2.851661838
,,,,,,,
0.135985994,0,0,-0.323764922,0,0,0,2.851662505
,,,,,,,
0.136536544,0,0,-0.323303676,0,0,0,2.851663172
,,,,,,,
0.137087095,0,0,-0.32284243,0,0,0,2.851663838
,,,,,,,
0.137637645,0,0,-0.322381184,0,0,0,2.851664505
,,,,,,,
0.138188196,0,0,-0.321919938,0,0,0,2.851665172
,,,,,,,
0.138738746,0,0,-0.321458692,0,0,0,2.851665839
,,,,,,,
0.139289297,0,0,-0.320997446,0,0,0,2.851666506
,,,,,,,
0.139839847,0,0,-0.3205362,0,0,0,2.851667173
,,,,,,,
0.140390398,0,0,-0.320074954,0,0,0,2.851667839
,,,,,,,
0.140940948,0,0,-0.319613708,0,0,0,2.851668506
,,,,,,,
0.141491499,0,0,-0.319152462,0,0,0,2.851669173
,,,,,,,
0.142042049,0,0,-0.318691216,0,0,0,2.85166984
,,,,,,,
